"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"McMahon, Ryan","641857","2020","172","193","37","21","6","1","9","66",34.2,9.3,".215",".419",".295","26"
"LeMahieu, DJ","518934","2020","195","216","71","49","10","2","10","21",9.7,8.3,".364",".590",".421","27"
"Harper, Bryce","547180","2020","190","244","51","27","9","2","13","43",17.6,20.1,".268",".542",".420","33"
"Santana, Carlos","467793","2020","206","255","41","26","7","0","8","43",16.9,18.4,".199",".350",".349","30"
"Trout, Mike","545361","2020","199","241","56","28","9","2","17","56",23.2,14.5,".281",".603",".390","46"
"Seager, Kyle","572122","2020","203","248","49","28","12","0","9","33",13.3,12.9,".241",".433",".355","40"
"Robert Jr., Luis","673357","2020","202","227","47","28","8","0","11","73",32.2,8.8,".233",".436",".302","31"
"Segura, Jean","516416","2020","192","217","51","37","5","2","7","45",20.7,10.6,".266",".422",".347","25"
"Suarez, Eugenio","553993","2020","198","231","40","17","8","0","15","67",29,13,".202",".470",".312","38"
"Lowe, Brandon","664040","2020","193","224","52","27","9","2","14","58",25.9,11.2,".269",".554",".362","37"
"Candelario, Jeimer","600869","2020","185","206","55","34","11","3","7","49",23.8,9.7,".297",".503",".369","29"
"Abreu, Jose","547989","2020","240","262","76","42","15","0","19","59",22.5,6.9,".317",".617",".370","60"
"Cabrera, Asdrubal","452678","2020","190","213","46","26","9","3","8","40",18.8,8.9,".242",".447",".305","31"
"Story, Trevor","596115","2020","235","259","68","40","13","4","11","63",24.3,9.3,".289",".519",".355","28"
"Fletcher, David","664058","2020","207","230","66","50","13","0","3","25",10.9,8.7,".319",".425",".376","18"
"Conforto, Michael","624424","2020","202","233","65","44","12","0","9","57",24.5,10.3,".322",".515",".412","31"
"Adames, Willy","642715","2020","185","205","48","24","15","1","8","74",36.1,9.8,".259",".481",".332","23"
"Alonso, Pete","624413","2020","208","239","48","26","6","0","16","61",25.5,10,".231",".490",".326","35"
"Canha, Mark","592192","2020","191","243","47","28","12","2","5","54",22.2,15.2,".246",".408",".387","33"
"Merrifield, Whit","593160","2020","248","265","70","49","12","0","9","33",12.5,4.5,".282",".440",".325","30"
"Votto, Joey","458015","2020","186","223","42","23","8","0","11","43",19.3,16.6,".226",".446",".354","22"
"Lindor, Francisco","596019","2020","236","266","61","40","13","0","8","41",15.4,9,".258",".415",".335","27"
"McCutchen, Andrew","457705","2020","217","241","55","36","9","0","10","48",19.9,9.1,".253",".433",".324","34"
"Bellinger, Cody","641355","2020","213","243","51","29","10","0","12","42",17.3,12.3,".239",".455",".333","30"
"Voit III, Luke","572228","2020","213","234","59","32","5","0","22","54",23.1,7.3,".277",".610",".338","52"
"Realmuto, J.T.","592663","2020","173","195","46","29","6","0","11","48",24.6,8.2,".266",".491",".349","32"
"Escobar, Eduardo","500871","2020","203","222","43","29","7","3","4","41",18.5,6.8,".212",".335",".270","20"
"Rosario, Eddie","592696","2020","210","231","54","34","7","0","13","34",14.7,8.2,".257",".476",".316","42"
"Rendon, Anthony","543685","2020","189","232","54","33","11","1","9","31",13.4,16.4,".286",".497",".418","31"
"Muncy, Max","571970","2020","203","248","39","23","4","0","12","60",24.2,15.7,".192",".389",".331","27"
"Kepler, Max","596146","2020","171","196","39","21","9","0","9","36",18.4,11.2,".228",".439",".321","23"
"Vazquez, Christian","543877","2020","173","189","49","33","9","0","7","43",22.8,8.5,".283",".457",".344","23"
"Riley, Austin","663586","2020","188","206","45","29","7","1","8","49",23.8,7.8,".239",".415",".301","27"
"Semien, Marcus","543760","2020","211","236","47","30","9","1","7","50",21.2,10.6,".223",".374",".305","23"
"Cronenworth, Jake","630105","2020","172","192","49","27","15","3","4","30",15.6,9.4,".285",".477",".354","20"
"Smith, Dominic","642086","2020","177","199","56","24","21","1","10","45",22.6,7,".316",".616",".377","42"
"Anderson, Tim","641313","2020","208","221","67","45","11","1","10","50",22.6,4.5,".322",".529",".357","21"
"Gurriel Jr., Lourdes","666971","2020","208","224","64","39","14","0","11","48",21.4,6.3,".308",".534",".348","33"
"Nunez, Renato","600524","2020","195","216","50","28","10","0","12","64",29.6,7.9,".256",".492",".324","31"
"Gregorius, Didi","544369","2020","215","237","61","39","10","2","10","28",11.8,6.3,".284",".488",".339","40"
"Arenado, Nolan","571448","2020","182","201","46","29","9","0","8","20",10,7.5,".253",".434",".303","26"
"Guerrero Jr., Vladimir","665489","2020","221","243","58","34","13","2","9","38",15.6,8.2,".262",".462",".329","33"
"Bradley Jr., Jackie","598265","2020","191","217","54","36","11","0","7","48",22.1,10.6,".283",".450",".364","22"
"Castellanos, Nick","592206","2020","218","242","49","22","11","2","14","69",28.5,7.9,".225",".486",".298","34"
"Betts, Mookie","605141","2020","219","246","64","38","9","1","16","38",15.4,9.8,".292",".562",".366","39"
"Swanson, Dansby","621020","2020","237","264","65","40","15","0","10","71",26.9,8.3,".274",".464",".345","35"
"Hiura, Keston","669374","2020","217","246","46","29","4","0","13","85",34.6,6.5,".212",".410",".297","32"
"Edman, Tommy","669242","2020","204","227","51","38","7","1","5","48",21.1,7,".250",".368",".317","26"
"Freeman, Freddie","518692","2020","214","262","73","36","23","1","13","37",14.1,17.2,".341",".640",".462","53"
"Lopez, Nicky","670032","2020","169","192","34","25","8","0","1","41",21.4,9.4,".201",".266",".286","13"
"Yastrzemski, Mike","573262","2020","192","225","57","29","14","4","10","55",24.4,13.3,".297",".568",".400","35"
"Reyes, Franmil","614177","2020","211","241","58","39","10","0","9","69",28.6,10,".275",".450",".344","34"
"Blackmon, Charlie","453568","2020","221","247","67","48","12","1","6","44",17.8,7.7,".303",".448",".356","42"
"Springer III, George","543807","2020","189","222","50","28","6","2","14","38",17.1,10.8,".265",".540",".359","32"
"McNeil, Jeff","643446","2020","183","209","57","39","14","0","4","24",11.5,9.6,".311",".454",".383","23"
"Hicks, Aaron","543305","2020","169","211","38","20","10","2","6","38",18,19.4,".225",".414",".379","21"
"Baez, Javier","595879","2020","222","235","45","27","9","1","8","75",31.9,3,".203",".360",".238","24"
"La Stella, Tommy","600303","2020","196","228","55","34","14","2","5","12",5.3,11.8,".281",".449",".370","25"
"Peralta, David","444482","2020","203","218","61","45","10","1","5","45",20.6,6,".300",".433",".339","34"
"Goldschmidt, Paul","502671","2020","191","231","58","39","13","0","6","43",18.6,16,".304",".466",".417","21"
"Happ, Ian","664023","2020","198","231","51","27","11","1","12","63",27.3,13,".258",".505",".361","28"
"Robles, Victor","645302","2020","168","189","37","28","5","1","3","53",28,4.8,".220",".315",".293","15"
"Soto, Juan","665742","2020","154","196","54","27","14","0","13","28",14.3,20.9,".351",".695",".490","37"
"Arcia, Orlando","606115","2020","173","189","45","29","10","1","5","32",16.9,7.4,".260",".416",".317","20"
"Longoria, Evan","446334","2020","193","209","49","31","10","1","7","39",18.7,5.3,".254",".425",".297","28"
"Laureano, Ramon","657656","2020","183","222","39","24","8","1","6","58",26.1,10.8,".213",".366",".338","25"
"Franco, Maikel","596748","2020","223","243","62","38","16","0","8","38",15.6,6.6,".278",".457",".321","38"
"Walker, Christian","572233","2020","218","243","59","33","18","1","7","50",20.6,7.8,".271",".459",".333","34"
"Anderson, Brian","605119","2020","200","229","51","32","7","1","11","66",28.8,9.6,".255",".465",".345","38"
"Marte, Ketel","606466","2020","181","195","52","35","14","1","2","21",10.8,3.6,".287",".409",".323","17"
"Acuna Jr., Ronald","660670","2020","160","202","40","15","11","0","14","60",29.7,18.8,".250",".581",".406","29"
"White, Evan","657108","2020","182","202","32","17","7","0","8","84",41.6,8.9,".176",".346",".252","26"
"Tucker, Kyle","663656","2020","209","228","56","29","12","6","9","46",20.2,7.9,".268",".512",".325","42"
"Villar, Jonathan","542340","2020","185","207","43","36","5","0","2","54",26.1,9.2,".232",".292",".301","15"
"Pollock, AJ","572041","2020","196","210","54","29","9","0","16","45",21.4,5.7,".276",".566",".314","34"
"Bell, Josh","605137","2020","195","223","44","33","3","0","8","59",26.5,9.9,".226",".364",".305","22"
"Grossman, Robbie","543257","2020","166","192","40","18","12","2","8","38",19.8,10.9,".241",".482",".344","23"
"Yelich, Christian","592885","2020","200","247","41","21","7","1","12","76",30.8,18.6,".205",".430",".356","22"
"Crawford, Brandon","543063","2020","172","193","44","24","12","0","8","47",24.4,7.8,".256",".465",".326","28"
"Hernandez, Cesar","514917","2020","233","261","66","43","20","0","3","57",21.8,9.2,".283",".408",".355","20"
"Solak, Nick","669256","2020","209","233","56","44","10","0","2","42",18,7.7,".268",".344",".326","23"
"Dozier, Hunter","641531","2020","158","186","36","24","4","2","6","48",25.8,14.5,".228",".392",".344","12"
"Taylor, Chris","621035","2020","185","214","50","30","10","2","8","55",25.7,12.1,".270",".476",".366","32"
"Gallo, Joey","608336","2020","193","226","35","17","8","0","10","79",35,12.8,".181",".378",".301","26"
"Contreras, Willson","575929","2020","189","225","46","29","10","0","7","57",25.3,8.9,".243",".407",".356","26"
"Mondesi, Adalberto","609275","2020","219","233","56","36","11","3","6","70",30,4.7,".256",".416",".294","22"
